step	epoch
21	0
43	1
49	2
65	2
87	3
99	4
109	4
109	4
131	5
149	6
153	6
175	7
197	8
199	9
219	9
219	9
241	10
249	11
263	11
285	12
299	13
307	13
329	14
329	14
349	15
351	15
373	16
395	17
399	18
417	18
439	19
439	19
449	20
461	20
483	21
499	22
505	22
527	23
549	24
549	24
549	24
571	25
593	26
599	27
615	27
637	28
649	29
659	29
659	29
681	30
699	31
703	31
725	32
747	33
749	34
769	34
769	34
791	35
799	36
813	36
835	37
849	38
857	38
879	39
879	39
899	40
901	40
923	41
945	42
949	43
967	43
989	44
989	44
999	45
1011	45
1033	46
1049	47
1055	47
1077	48
1099	49
1099	49
1099	49
1121	50
1143	51
1149	52
1165	52
1187	53
1199	54
1209	54
1209	54
1231	55
1249	56
1253	56
1275	57
1297	58
1299	59
1319	59
1319	59
1341	60
1349	61
1363	61
1385	62
1399	63
1407	63
1429	64
1429	64
1449	65
1451	65
1473	66
1495	67
1499	68
1517	68
1539	69
1539	69
1549	70
1561	70
1583	71
1599	72
1605	72
1627	73
1649	74
1649	74
1649	74
1671	75
1693	76
1699	77
1715	77
1737	78
1749	79
1759	79
1759	79
1781	80
1799	81
1803	81
1825	82
1847	83
1849	84
1869	84
1869	84
1891	85
1899	86
1913	86
1935	87
1949	88
1957	88
1979	89
1979	89
1999	90
2001	90
2023	91
2045	92
2049	93
2067	93
2089	94
2089	94
2099	95
2111	95
2133	96
2149	97
2155	97
2177	98
2199	99
2199	99
2199	99
2221	100
2243	101
2249	102
2265	102
2287	103
2299	104
2309	104
2309	104
2331	105
2349	106
2353	106
2375	107
2397	108
2399	109
2419	109
2419	109
2441	110
2449	111
2463	111
2485	112
2499	113
2507	113
2529	114
2529	114
2549	115
2551	115
2573	116
2595	117
2599	118
2617	118
2639	119
2639	119
2649	120
2661	120
2683	121
2699	122
2705	122
2727	123
2749	124
2749	124
2749	124
2771	125
2793	126
2799	127
2815	127
2837	128
2849	129
2859	129
2859	129
2881	130
2899	131
2903	131
2925	132
2947	133
2949	134
2969	134
2969	134
2991	135
2999	136
3013	136
3035	137
3049	138
3057	138
3079	139
3079	139
3099	140
3101	140
3123	141
3145	142
3149	143
3167	143
3189	144
3189	144
3199	145
3211	145
3233	146
3249	147
3255	147
3277	148
3299	149
3299	149
3299	149
3321	150
3343	151
3349	152
3365	152
3387	153
3399	154
3409	154
3409	154
3431	155
3449	156
3453	156
3475	157
3497	158
3499	159
3519	159
3519	159
3541	160
3549	161
3563	161
3585	162
3599	163
3607	163
3629	164
3629	164
3649	165
3651	165
3673	166
3695	167
3699	168
3717	168
3739	169
3739	169
3749	170
3761	170
3783	171
3799	172
3805	172
3827	173
3849	174
3849	174
3849	174
3871	175
3893	176
3899	177
3915	177
3937	178
3949	179
3959	179
3959	179
3981	180
3999	181
4003	181
4025	182
4047	183
4049	184
4069	184
4069	184
4091	185
4099	186
4113	186
4135	187
4149	188
4157	188
4179	189
4179	189
4199	190
4201	190
4223	191
4245	192
4249	193
4267	193
4289	194
4289	194
4299	195
4311	195
4333	196
4349	197
4355	197
4377	198
4399	199
4399	199
4399	199
4421	200
4443	201
4449	202
4465	202
4487	203
4499	204
4509	204
4509	204
4531	205
4549	206
4553	206
4575	207
4597	208
4599	209
4619	209
4619	209
4641	210
4649	211
4663	211
4685	212
4699	213
4707	213
4729	214
4729	214
4749	215
4751	215
4773	216
4795	217
4799	218
4817	218
4839	219
4839	219
4849	220
4861	220
4883	221
4899	222
4905	222
4927	223
4949	224
4949	224
4949	224
4971	225
4993	226
4999	227
5015	227
5037	228
5049	229
5059	229
5059	229
2727	123
2749	124
2749	124
2771	125
2793	126
2799	127
2815	127
2837	128
2849	129
2859	129
2859	129
2881	130
2899	131
2903	131
2925	132
2947	133
2949	134
2969	134
2991	135
2999	136
3013	136
3035	137
3049	138
3057	138
3079	139
3079	139
3099	140
3101	140
3123	141
3145	142
3149	143
3167	143
3189	144
3199	145
3211	145
3233	146
3249	147
3255	147
3277	148
3299	149
3299	149
3299	149
3321	150
3343	151
3349	152
3365	152
3387	153
3399	154
3409	154
3431	155
3449	156
3453	156
3475	157
3497	158
3499	159
3519	159
3519	159
3541	160
3549	161
3563	161
3585	162
3599	163
3607	163
3629	164
3649	165
3651	165
3673	166
3695	167
3699	168
3717	168
3739	169
3739	169
3749	170
3761	170
3783	171
3799	172
3805	172
3827	173
3849	174
3849	174
3871	175
3893	176
3899	177
3915	177
3937	178
3949	179
3959	179
3959	179
3981	180
3999	181
4003	181
4025	182
4047	183
4049	184
4069	184
4091	185
4099	186
4113	186
4135	187
4149	188
4157	188
4179	189
4179	189
4199	190
4201	190
4223	191
4245	192
4249	193
4267	193
4289	194
4299	195
4311	195
4333	196
4349	197
4355	197
4377	198
4399	199
4399	199
4399	199
4421	200
